model,target,r2,mae,mse,rmse,nmae_range,nrmse_range,nmae_std,nrmse_std
LinearRegression,angle_mie,0.6567051281106117,0.5692539425252046,0.5357343777532438,0.7319387800583078,0.12692706989475533,0.16320105625097076,0.43870415337521007,0.5640796819140987
LinearRegression,length_mie,0.9386139739748349,9.395160183076902,167.08178905377366,12.92601210945486,0.04823616466930792,0.06636408922034334,0.1942939975873767,0.2673127990018292
LinearRegression,angle_shadow,0.7905144664963227,0.42491584001269456,0.29876841313698904,0.5465971214130102,0.08896552210399654,0.11444218762378273,0.3490843737535259,0.4490501314760122
LinearRegression,length_shadow,0.9504669201993344,8.728603393418986,145.2497428612939,12.051960125278123,0.04348128083732323,0.060036484558634,0.17199436451234654,0.23748005602341962
DecisionTree,angle_mie,0.9877608887562964,0.04439911751616631,0.01909994346933025,0.13820254508991595,0.00989971165986326,0.03081514731799008,0.034216850873498836,0.10650787989103191
DecisionTree,length_mie,0.9965176064173726,2.280266806329748,9.47845279536788,3.0787095990638482,0.011707232555566348,0.01580655787614124,0.04715642359835866,0.06366839774485286
DecisionTree,angle_shadow,0.9926722471724956,0.05945834945371988,0.01045084616353784,0.1022293801386756,0.012448919537652522,0.021403980087288565,0.048847274516407795,0.08398528787219266
DecisionTree,length_shadow,0.9975745599123365,2.0431029224491346,7.112308592083013,2.6668911848973167,0.010177657059953708,0.013285039925233739,0.040258695800624876,0.05255024588650995
RandomForest,angle_mie,0.9828638116056043,0.10417622845999305,0.026742156607255974,0.16353029262878477,0.023228268516608613,0.03646249824872234,0.0802849847743306,0.12602709128489684
RandomForest,length_mie,0.9857688030386043,4.251560551541897,38.73477406261584,6.223726702114726,0.0218281509702313,0.03195354844515878,0.0879232157246026,0.12870804938731215
RandomForest,angle_shadow,0.9783712096158916,0.12151468491614692,0.03084699584288566,0.17563312854608512,0.0254417848639031,0.03677267710093836,0.09982889243324722,0.14428923310331512
RandomForest,length_shadow,0.9849515535644339,4.351215353944672,44.12774218813179,6.6428715318100044,0.021675451187435954,0.033091268971925616,0.08573932001794589,0.1308956789710764
SVR,angle_mie,0.9948701504747011,0.06974618620647956,0.008005469840776777,0.08947329121462325,0.015551370645325809,0.019949941211359207,0.053750952404705746,0.06895394399533203
SVR,length_mie,0.9879706616658264,2.4328149834473343,32.74170849865617,5.722037093435883,0.01249043782807473,0.02937779857974372,0.05031115375508667,0.11833299694341268
SVR,angle_shadow,0.9826142399587168,0.11008812818900424,0.02479558302589647,0.15746613294895023,0.023049382676564513,0.03296901506680043,0.0904415455197159,0.1293643616727292
SVR,length_shadow,0.9878130403089131,2.5558847317661955,35.736779713978684,5.978024733469968,0.012732064546951737,0.029779354218849072,0.050362898896102334,0.1177950834434141
KNN,angle_mie,0.9994262189757106,0.018704383205828845,0.0008954232794755074,0.029923624103298508,0.004170533354539585,0.0066720977130441,0.014414815578295836,0.023061093121150157
KNN,length_mie,0.9984218600606207,1.42339681861136,4.2954147958790125,2.0725382495575353,0.007307933233110751,0.0106407229191441,0.029436162093255877,0.04286055094458219
KNN,angle_shadow,0.9988580418839582,0.027790233703017315,0.0016286614569149312,0.04035667797174256,0.005818499613257894,0.008449562449899889,0.022830724146202935,0.03315453162705722
KNN,length_shadow,0.9984666330926795,1.4924599565740284,4.496412294503218,2.120474544648725,0.007434645336180821,0.010563081518147804,0.02940845061016425,0.04178327910355524
GradientBoosting,angle_mie,0.9872703391137164,0.056966559000811545,0.01986547866674882,0.14094494906433797,0.012701885530884251,0.03142662362924234,0.0439021395728734,0.10862135495714155
GradientBoosting,length_mie,0.9994198471435591,0.9083592898251287,1.5790723631311452,1.2566114606874892,0.00466365313939234,0.00645163213419638,0.018785071699326254,0.02598700387789721
GradientBoosting,angle_shadow,0.9932567319386995,0.06881395742277732,0.009617253584705146,0.09806759701708381,0.014407722832777128,0.020532618811877058,0.056533258990096376,0.08056622621834737
GradientBoosting,length_shadow,0.9994807305745111,0.8907207941849887,1.5226945473916649,1.2339750999885146,0.004437099413727709,0.006147010632802743,0.01755137105545265,0.024315088403100295
